scenario,model_path,defense,label_true,ssim_best_value,ssim_best_img_idx,ssim_best_repeat_id,ssim_best_seed,ssim_best_source_csv,ssim_worst_value,ssim_worst_img_idx,ssim_worst_repeat_id,ssim_worst_seed,ssim_worst_source_csv,psnr_best_value,psnr_best_img_idx,psnr_best_repeat_id,psnr_best_seed,psnr_best_source_csv,psnr_worst_value,psnr_worst_img_idx,psnr_worst_repeat_id,psnr_worst_seed,psnr_worst_source_csv,loss_best_value,loss_best_img_idx,loss_best_repeat_id,loss_best_seed,loss_best_source_csv,loss_worst_value,loss_worst_img_idx,loss_worst_repeat_id,loss_worst_seed,loss_worst_source_csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,0.3306518793106079,29,22.0,145.0,results/scores/results_fl_orig_sgp_4.csv,0.0591849572956562,30,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv,10.248019708187638,29,1.0,124.0,results/scores/results_fl_orig_sgp_4.csv,6.771188361389497,30,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv,2.101849317550659,49,21.0,144.0,results/scores/results_fl_orig_sgp_4.csv,92.14151763916016,35,7.0,130.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,1,0.7044609189033508,46,20.0,143.0,results/scores/results_fl_orig_sgp_4.csv,0.0007070854189805,45,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv,18.341669599936225,46,1.0,124.0,results/scores/results_fl_orig_sgp_4.csv,4.592450432585051,45,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv,0.0021095860283821,46,4.0,127.0,results/scores/results_fl_orig_sgp_4.csv,242.8680877685547,5,2.0,125.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,2,0.1896134465932846,13,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv,0.0213388949632644,48,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv,8.697308319115924,47,19.0,142.0,results/scores/results_fl_orig_sgp_4.csv,6.596613490112839,6,2.0,125.0,results/scores/results_fl_orig_sgp_4.csv,0.2680125832557678,47,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv,65.99671936035156,13,17.0,140.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,3,0.2346465438604354,38,17.0,140.0,results/scores/results_fl_orig_sgp_4.csv,0.0485845208168029,39,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv,10.47678972241316,21,23.0,146.0,results/scores/results_fl_orig_sgp_4.csv,6.476965511377436,39,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv,0.677448570728302,33,8.0,131.0,results/scores/results_fl_orig_sgp_4.csv,42.819366455078125,9,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,4,0.2470176815986633,20,16.0,139.0,results/scores/results_fl_orig_sgp_4.csv,0.0179172735661268,10,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv,11.50481783311777,20,16.0,139.0,results/scores/results_fl_orig_sgp_4.csv,6.433471084238716,28,19.0,142.0,results/scores/results_fl_orig_sgp_4.csv,0.3266912400722503,10,19.0,142.0,results/scores/results_fl_orig_sgp_4.csv,56.601409912109375,28,5.0,128.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,5,0.1753490716218948,27,4.0,127.0,results/scores/results_fl_orig_sgp_4.csv,0.1259947270154953,40,12.0,135.0,results/scores/results_fl_orig_sgp_4.csv,8.522621247655334,27,2.0,125.0,results/scores/results_fl_orig_sgp_4.csv,7.573580658361072,40,21.0,144.0,results/scores/results_fl_orig_sgp_4.csv,8.262614250183105,27,20.0,143.0,results/scores/results_fl_orig_sgp_4.csv,85.54145812988281,40,12.0,135.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,6,0.214352011680603,19,3.0,126.0,results/scores/results_fl_orig_sgp_4.csv,0.0481359176337718,23,12.0,135.0,results/scores/results_fl_orig_sgp_4.csv,10.15941454949699,19,3.0,126.0,results/scores/results_fl_orig_sgp_4.csv,7.125910948031637,0,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv,0.3916347920894623,19,3.0,126.0,results/scores/results_fl_orig_sgp_4.csv,66.03256225585938,0,0.0,123.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,7,0.2945400774478912,7,22.0,145.0,results/scores/results_fl_orig_sgp_4.csv,0.0869173631072044,37,13.0,136.0,results/scores/results_fl_orig_sgp_4.csv,11.825680082018524,7,22.0,145.0,results/scores/results_fl_orig_sgp_4.csv,7.481899728083451,12,8.0,131.0,results/scores/results_fl_orig_sgp_4.csv,0.1159953400492668,7,22.0,145.0,results/scores/results_fl_orig_sgp_4.csv,60.71001052856445,11,6.0,129.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,8,0.2869809567928314,8,14.0,137.0,results/scores/results_fl_orig_sgp_4.csv,0.2016724497079849,8,15.0,138.0,results/scores/results_fl_orig_sgp_4.csv,9.673508892040315,8,18.0,141.0,results/scores/results_fl_orig_sgp_4.csv,8.46325179916947,8,15.0,138.0,results/scores/results_fl_orig_sgp_4.csv,0.535552442073822,8,22.0,145.0,results/scores/results_fl_orig_sgp_4.csv,3.444272518157959,8,15.0,138.0,results/scores/results_fl_orig_sgp_4.csv
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,9,0.3143205344676971,2,3.0,126.0,results/scores/results_fl_orig_sgp_4.csv,0.0736367776989936,2,21.0,144.0,results/scores/results_fl_orig_sgp_4.csv,12.115834865362086,2,3.0,126.0,results/scores/results_fl_orig_sgp_4.csv,5.88348155587979,2,21.0,144.0,results/scores/results_fl_orig_sgp_4.csv,0.3848070204257965,2,3.0,126.0,results/scores/results_fl_orig_sgp_4.csv,27.592195510864254,2,21.0,144.0,results/scores/results_fl_orig_sgp_4.csv
