repeat_id=16, ssim=0.894555, psnr=26.199529
repeat_id=116, ssim=0.894555, psnr=26.199529
repeat_id=66, ssim=0.894546, psnr=26.161396
repeat_id=166, ssim=0.894546, psnr=26.161396
repeat_id=14, ssim=0.894009, psnr=26.157813
repeat_id=114, ssim=0.894009, psnr=26.157813
repeat_id=70, ssim=0.893857, psnr=26.156549
repeat_id=170, ssim=0.893857, psnr=26.156549
repeat_id=59, ssim=0.894113, psnr=26.155890
repeat_id=159, ssim=0.894113, psnr=26.155890
repeat_id=74, ssim=0.894710, psnr=26.154995
repeat_id=174, ssim=0.894710, psnr=26.154995
repeat_id=30, ssim=0.894565, psnr=26.148633
repeat_id=130, ssim=0.894565, psnr=26.148633
repeat_id=60, ssim=0.893948, psnr=26.137709
repeat_id=160, ssim=0.893948, psnr=26.137709
repeat_id=72, ssim=0.894407, psnr=26.134341
repeat_id=172, ssim=0.894407, psnr=26.134341
repeat_id=88, ssim=0.893797, psnr=26.131548
repeat_id=188, ssim=0.893797, psnr=26.131548
repeat_id=47, ssim=0.893999, psnr=26.127726
repeat_id=147, ssim=0.893999, psnr=26.127726
repeat_id=95, ssim=0.893670, psnr=26.125918
repeat_id=195, ssim=0.893670, psnr=26.125918
repeat_id=73, ssim=0.893449, psnr=26.124355
repeat_id=173, ssim=0.893449, psnr=26.124355
repeat_id=4, ssim=0.893645, psnr=26.122672
repeat_id=104, ssim=0.893645, psnr=26.122672
repeat_id=13, ssim=0.894309, psnr=26.118013
repeat_id=113, ssim=0.894309, psnr=26.118013
repeat_id=85, ssim=0.894031, psnr=26.116242
repeat_id=185, ssim=0.894031, psnr=26.116242
repeat_id=57, ssim=0.893881, psnr=26.114777
repeat_id=157, ssim=0.893881, psnr=26.114777
repeat_id=93, ssim=0.893607, psnr=26.113294
repeat_id=193, ssim=0.893607, psnr=26.113294
repeat_id=46, ssim=0.893227, psnr=26.111093
repeat_id=146, ssim=0.893227, psnr=26.111093
repeat_id=15, ssim=0.893846, psnr=26.108796
repeat_id=115, ssim=0.893846, psnr=26.108796
repeat_id=42, ssim=0.894014, psnr=26.108543
repeat_id=142, ssim=0.894014, psnr=26.108543
repeat_id=89, ssim=0.894107, psnr=26.107340
repeat_id=189, ssim=0.894107, psnr=26.107340
repeat_id=22, ssim=0.893552, psnr=26.107184
repeat_id=122, ssim=0.893552, psnr=26.107184
repeat_id=1, ssim=0.894290, psnr=26.106776
repeat_id=101, ssim=0.894290, psnr=26.106776
repeat_id=54, ssim=0.893852, psnr=26.106473
repeat_id=154, ssim=0.893852, psnr=26.106473
repeat_id=35, ssim=0.893867, psnr=26.105287
repeat_id=135, ssim=0.893867, psnr=26.105287
repeat_id=84, ssim=0.893381, psnr=26.103389
repeat_id=184, ssim=0.893381, psnr=26.103389
repeat_id=49, ssim=0.893835, psnr=26.100413
repeat_id=149, ssim=0.893835, psnr=26.100413
repeat_id=96, ssim=0.893501, psnr=26.100288
repeat_id=196, ssim=0.893501, psnr=26.100288
repeat_id=33, ssim=0.893865, psnr=26.099980
repeat_id=133, ssim=0.893865, psnr=26.099980
repeat_id=87, ssim=0.893889, psnr=26.099178
repeat_id=187, ssim=0.893889, psnr=26.099178
repeat_id=81, ssim=0.893309, psnr=26.098949
repeat_id=181, ssim=0.893309, psnr=26.098949
repeat_id=62, ssim=0.893255, psnr=26.098781
repeat_id=162, ssim=0.893255, psnr=26.098781
repeat_id=82, ssim=0.893783, psnr=26.094216
repeat_id=182, ssim=0.893783, psnr=26.094216
repeat_id=52, ssim=0.894084, psnr=26.093381
repeat_id=152, ssim=0.894084, psnr=26.093381
repeat_id=98, ssim=0.893521, psnr=26.092253
repeat_id=198, ssim=0.893521, psnr=26.092253
repeat_id=64, ssim=0.893323, psnr=26.091152
repeat_id=164, ssim=0.893323, psnr=26.091152
repeat_id=2, ssim=0.893549, psnr=26.089901
repeat_id=102, ssim=0.893549, psnr=26.089901
repeat_id=25, ssim=0.894093, psnr=26.089036
repeat_id=125, ssim=0.894093, psnr=26.089036
repeat_id=26, ssim=0.894225, psnr=26.088295
repeat_id=126, ssim=0.894225, psnr=26.088295
repeat_id=83, ssim=0.893558, psnr=26.085477
repeat_id=183, ssim=0.893558, psnr=26.085477
repeat_id=53, ssim=0.894096, psnr=26.085116
repeat_id=153, ssim=0.894096, psnr=26.085116
repeat_id=99, ssim=0.893564, psnr=26.084410
repeat_id=199, ssim=0.893564, psnr=26.084410
repeat_id=20, ssim=0.893955, psnr=26.082466
repeat_id=120, ssim=0.893955, psnr=26.082466
repeat_id=71, ssim=0.893064, psnr=26.082035
repeat_id=171, ssim=0.893064, psnr=26.082035
repeat_id=43, ssim=0.894338, psnr=26.081682
repeat_id=143, ssim=0.894338, psnr=26.081682
repeat_id=0, ssim=0.893914, psnr=26.081472
repeat_id=100, ssim=0.893914, psnr=26.081472
repeat_id=90, ssim=0.894022, psnr=26.077845
repeat_id=190, ssim=0.894022, psnr=26.077845
repeat_id=12, ssim=0.893103, psnr=26.077544
repeat_id=112, ssim=0.893103, psnr=26.077544
repeat_id=44, ssim=0.893363, psnr=26.074016
repeat_id=144, ssim=0.893363, psnr=26.074016
repeat_id=65, ssim=0.893792, psnr=26.073698
repeat_id=165, ssim=0.893792, psnr=26.073698
repeat_id=29, ssim=0.893271, psnr=26.071973
repeat_id=129, ssim=0.893271, psnr=26.071973
repeat_id=37, ssim=0.893578, psnr=26.071081
