repeat_id=38, ssim=0.943785, psnr=27.563527
repeat_id=41, ssim=0.936810, psnr=27.160212
repeat_id=18, ssim=0.932822, psnr=27.020159
repeat_id=57, ssim=0.932700, psnr=26.836791
repeat_id=11, ssim=0.928306, psnr=26.398061
repeat_id=79, ssim=0.901961, psnr=25.190155
repeat_id=73, ssim=0.895644, psnr=25.102736
repeat_id=40, ssim=0.857723, psnr=24.031770
repeat_id=76, ssim=0.855306, psnr=23.978274
repeat_id=91, ssim=0.866288, psnr=23.970074
repeat_id=31, ssim=0.852587, psnr=23.916219
repeat_id=46, ssim=0.866530, psnr=23.845217
repeat_id=68, ssim=0.860813, psnr=23.768856
repeat_id=35, ssim=0.854449, psnr=23.703352
repeat_id=19, ssim=0.857479, psnr=23.553076
repeat_id=2, ssim=0.820857, psnr=22.803805
repeat_id=24, ssim=0.821253, psnr=22.795691
repeat_id=59, ssim=0.811174, psnr=22.409352
repeat_id=26, ssim=0.801642, psnr=21.846544
repeat_id=22, ssim=0.775297, psnr=21.221341
repeat_id=39, ssim=0.759939, psnr=20.631464
