"Model3,3,4,64:",Accuracy
Initial Model,0.0
Global Model,0.365
"Model3,3,4,64:",Accuracy
Initial Model,0.0
Global Model,0.33
"Model3,3,4,64:",Accuracy
Initial Model,0.0
Global Model,0.385
"Model3,3,4,64:",Accuracy
Initial Model,0.0
Global Model,0.43
"Model3,3,4,8:",Accuracy
Initial Model,0.06
Global Model,0.16
"Model3,3,4,8:",Accuracy
Initial Model,0.09
Global Model,0.12
"Model3,3,4,2:",Accuracy
Initial Model,0.095
Global Model,0.15
"Model3,3,4,2:",Accuracy
Initial Model,0.13
Global Model,0.07
"Model3,2,1,8:",Accuracy
Initial Model,0.0
Global Model,0.0
"Model3,2,1,8:",Accuracy
Initial Model,0.0
Global Model,0.0625
"Model3,10,3,8:",Accuracy
Initial Model,0.0
Global Model,0.09375
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.03125
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.171875
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.03125
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.09375
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.0625
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.0
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.125
"Model2,20,5,8:",Accuracy
Initial Model,0.0
Global Model,0.109375
"Model5,30,5,64:",Accuracy
Initial Model,0.015625
Global Model,0.078125
"Model5,20,5,64:",Accuracy
Initial Model,0.0
Global Model,0.265625
"Model8,10,5,8:",Accuracy
Initial Model,0.00156128024980484
Global Model,0.2568306010928962
"Model3,8,3,2:",Accuracy
Initial Model,0.0999
Global Model,0.0875
"Model5,10,3,2:",Accuracy
Initial Model,0.0867
Global Model,0.0998
