Image,Variance,BRISQUE,PSNR,SSIM
img0,0.0,26.0155029296875,inf,1.0
img0,0.01,44.536468505859375,22.454161825622666,0.7830564433286797
img0,0.05,71.90936279296875,16.296842742041786,0.49766365054638056
img0,0.1,52.543853759765625,14.191538976915934,0.3859719503656153
img0,0.5,91.14228057861328,10.449262282066892,0.1816134443292412
img1,0.0,53.885101318359375,inf,1.0
img1,0.01,33.19232177734375,21.933496254837934,0.8904034472511538
img1,0.05,44.16754150390625,16.280338898614307,0.6792734665950738
img1,0.1,61.961151123046875,14.061325000461792,0.5642844988513332
img1,0.5,90.60172271728516,10.669442386751737,0.30788671881141116
