scenario,model_path,defense,img_idx,label_true,repeat_id,seed,label_pred,label_correct,ssim,psnr,final_loss,avg_ssim,avg_psnr,std_ssim,std_psnr,label_acc,threshold,model_acc_before,model_acc_after
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,0,123,7,1,0.9922208786010742,36.506614020974034,0.00010735975229181349,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,1,124,7,1,0.9926274418830872,36.65241634768301,0.00010719769488787279,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,2,125,7,1,0.9924512505531311,36.62161888399366,0.0001070724829332903,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,3,126,7,1,0.9923458099365234,36.44603033237771,0.00010711855429690331,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,4,127,7,1,0.9924917221069336,36.5252895483366,0.00010719449346652254,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,5,128,7,1,0.9926243424415588,36.61861005865384,0.00010719259444158524,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,6,129,7,1,0.9928279519081116,36.740616729931816,0.00010722146544139832,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,7,130,7,1,0.9921111464500427,36.31362114405971,0.00010730131180025637,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,8,131,7,1,0.9925816059112549,36.689195539236074,0.00010727543121902272,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,9,132,7,1,0.9927278161048889,36.7469996382986,0.00010700241546146572,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,10,133,7,1,0.9925856590270996,36.73057166704447,0.00010699930135160685,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,11,134,7,1,0.9926772117614746,36.70185505254959,0.00010703175939852372,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,12,135,7,1,0.9924519062042236,36.53741824692763,0.00010724322055466473,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,13,136,7,1,0.992649495601654,36.75403843125685,0.0001071501465048641,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,14,137,7,1,0.9926512837409973,36.63916680513202,0.00010699206177378073,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,15,138,7,1,0.9927346110343933,36.730051819234795,0.00010714841482695192,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,16,139,7,1,0.9925807118415833,36.68638353304556,0.00010712910443544388,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,17,140,7,1,0.9926565289497375,36.59966106140162,0.00010708067566156387,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,18,141,7,1,0.9924960136413574,36.6122618375144,0.00010719983401941136,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,19,142,7,1,0.9923768043518066,36.60594745670241,0.00010707793990150094,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,20,143,7,1,0.9924586415290833,36.70207724627391,0.000107135325379204,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,21,144,7,1,0.9922301173210144,36.55280438213789,0.00010736971307778731,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,22,145,7,1,0.9923685193061829,36.58774349315118,0.00010708856279961765,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,23,146,7,1,0.9925705790519714,36.478921999092485,0.00010727938206400722,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,24,147,7,1,0.9921727180480957,36.46184176218816,0.0001072248924174346,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,10735,7,AVG,-,-,-,-,-,-,0.9925068306922913,36.60967028148792,0.00018367952098169682,0.10923212288348848,1.0,,0.4702,0.4702
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,none,9085,1,0,123,1,1,0.8012876510620117,20.081531405511125,0.0026082880795001984,,,,,,,,
